,ra,dec,pmra,pmdec
0,219.3706292687711,-27.312548386317967,0.0531340262259181,-1.674612868425954
1,219.3739955125741,-27.24380100571541,-0.960710814997746,-0.2837079078787503
2,219.3634584609515,-27.213113113753742,0.6749571336870095,-1.7411531330151055
3,219.33693140665324,-27.172984658800964,-0.0579748759912353,-0.5641308416947834
4,219.4637062526548,-27.18940754615546,-0.4389139708936746,-0.487856073158835
5,219.35978482046187,-27.111370893419416,-0.8577532961202331,-1.1783106697360153
6,219.37031746817496,-26.96346006500692,-0.5309873276251532,-0.5645920719741537
7,219.36553083137144,-26.96646358476827,-0.8660769914373315,-0.6592445975152579
8,219.51623578865969,-27.078855087096954,-0.4149273689021296,-0.4393930807164801
9,219.6282224323604,-27.030709141579628,0.2601848300709539,-1.3122675433031696
10,219.6091877652397,-26.99319028262932,-0.8288386357226858,-1.5450901789011011
11,219.6547833355974,-26.969481689947912,0.2418287403625881,-0.2658580726307118
12,219.5621087644813,-26.94842063683349,-0.9829995515890524,-0.8659449341594971
13,219.5178112262045,-26.966895529784946,0.6558557621501,-1.2766563587751891
14,219.5016481624524,-26.87949043338073,0.4556552982321323,-0.5012466446670623
15,219.5061026492424,-26.86902409118007,-0.1904115912329279,-1.169156822518379
16,219.22740026675825,-27.04988339345592,0.1043168589081022,-0.1282379583450317
17,219.2273061597024,-27.03186020259809,-0.474987979244643,-0.2790855129143353
18,219.1684695815511,-27.029156053913443,-0.4409833572234457,-0.90670314502115
19,219.1267087342958,-27.036023392826024,-0.6527805611157496,-1.6156904520385664
20,219.14614263553668,-26.92149134501842,-0.7087046329148176,-1.1007544153146465
21,219.0723092589326,-26.90806324893484,-0.692318206426493,-1.5277415792101077
22,219.11263760636825,-26.88231790480161,-0.0034800544462899,-1.5900035312430525
23,219.1271636527449,-26.87285104967336,-0.9044294460058452,-1.1669613901054483
24,219.20054119745416,-26.854816180367912,-0.3489199345409889,-1.3027582155370752
25,219.4136766366213,-26.84638049532111,-0.8643914121305508,-0.8910087237322345
26,219.3863641410271,-26.825803607045568,-0.8895655734309919,-0.4111276185538314
